timestamp,sender_name,sender_phone,receiver_name,receiver_phone,amount_kes,transaction_id,location,flagged
2026-01-21 12:48:45,Akinyi Macharia,0700803751,Ochieng Mutua,0791774102,5000,TXN8479251,Nakuru Town,NO
2026-03-22 15:19:47,Kariuki Kamau,0721506389,Wambui Kimani,0790513774,20000,TXN8979373,Malindi,NO
2026-02-03 17:02:34,Kamau Wekesa,0711948792,Nafula Ochieng,0795889340,500,TXN9730632,Mombasa CBD,NO
2026-01-01 14:45:07,Kipchoge Waweru,0724911239,Mwangi Gathoni,0724110821,75000,TXN8848446,Kayole Nairobi,NO
2026-01-22 18:25:35,Wambui Maina,0799937790,Kimani Kimani,0726898942,7500,TXN2707209,Nyeri Town,NO
2026-03-19 12:11:29,Adhiambo Wekesa,0742407651,Mwangi Gitau,0795112764,2500,TXN9195100,Kayole Nairobi,NO
2026-03-06 11:06:49,Njeri Kiprotich,0722705522,Nyambura Mwangi,0790642776,25000,TXN3761608,Kibera Nairobi,NO
2026-02-21 12:43:46,Kipchoge Wekesa,0791677415,Gitau Kiprotich,0740270165,30000,TXN8074669,Westlands Nairobi,NO
2026-01-16 18:59:33,Wambui Wekesa,0798918339,Chebet Gathoni,0722189153,1000,TXN8046975,Nakuru Town,NO
2026-03-07 13:27:44,Wanjiku Rotich,0728262140,Mutua Njoroge,0727727753,25000,TXN5311379,Kisumu CBD,NO
2026-02-27 09:13:48,Nafula Waweru,0794457265,Kimani Gitau,0728686381,20000,TXN8424238,Kibera Nairobi,NO
2026-01-25 15:53:33,Wanjiku Kimani,0741266091,Njeri Mugo,0797185095,10000,TXN3313267,Thika Town,NO
2026-01-19 11:13:37,Ochieng Gathoni,0741479341,Omondi Waweru,0790427629,30000,TXN4673270,Kisumu CBD,NO
2026-03-02 15:19:02,Chebet Juma,0710279489,Otieno Ochieng,0757944545,50000,TXN6300956,Kisumu CBD,NO
2026-01-18 11:16:40,Njeri Macharia,0791176616,Kipchoge Kariuki,0724269293,75000,TXN1720044,Meru Town,NO
2026-01-28 10:03:32,Nyambura Wekesa,0726130366,Njeri Wekesa,0724421967,7500,TXN4106145,Nyeri Town,NO
2026-02-16 11:01:53,Mwangi Gathoni,0757497566,Wanjiku Mugo,0797795314,2000,TXN8964441,Kasarani Nairobi,NO
2026-03-04 13:34:44,Wairimu Wekesa,0725620671,Adhiambo Njoroge,0757401813,1000,TXN9158144,Nakuru Town,NO
2026-02-28 14:22:35,Otieno Kamau,0799982208,Moraa Kimani,0726146798,20000,TXN1048080,Malindi,NO
2026-02-26 17:02:48,Wambui Juma,0728375405,Ochieng Wekesa,0723234763,75000,TXN9156998,Machakos,NO
2026-03-14 15:56:11,Chebet Maina,0700110528,Njeri Onyango,0791302313,2500,TXN6964036,Eldoret Town,NO
2026-03-12 10:38:49,Moraa Maina,0790635371,Wanjiku Wekesa,0726282027,20000,TXN7653857,Meru Town,NO
2026-01-11 10:49:28,Kipchoge Ochieng,0794224557,Njeri Gathoni,0796115215,25000,TXN8299769,Kibera Nairobi,NO
2026-02-25 09:40:51,Njeri Ochieng,0741138757,Mutua Gitau,0725155195,30000,TXN8667540,Nyeri Town,NO
2026-03-26 16:19:33,Kipchoge Kamau,0791351842,Ochieng Ochieng,0720477230,50000,TXN2992375,Nakuru Town,NO
2026-03-06 18:10:49,Gitau Waweru,0726192501,Mwangi Waweru,0712135991,30000,TXN2202873,Kayole Nairobi,NO
2026-01-22 17:14:46,Njeri Gitau,0724888239,Gitau Otieno,0793971860,7500,TXN3547159,Meru Town,NO
2026-01-23 16:26:48,Wambui Njoroge,0724478429,Chebet Maina,0793568333,50000,TXN7672011,Nyeri Town,NO
2026-03-15 11:23:48,Mutua Waweru,0757995495,Kariuki Gitau,0720791629,1000,TXN9927962,Eldoret Town,NO
